box_size,alpha,v_wall,Omega_tilde_int_extrap,k1,k2,ke,n1,n2,n3,b,coll_supp_fact,curly_K_0_512,t_perc
20,0.0046,0.32,0.018521530501159000,2.9761258250790600,3.7894188127390600,14.158059849951000,3.0,1.0,-2.999,0.047641893520288300,1.0228755535102300,3.57221258614933E-05,8.66193
20,0.0046,0.36,0.01722111780078600,2.338483673039610,4.820381368534890,12.895540848646900,3.0,1.0,-2.999,0.038962371936493700,1.0251525159177400,4.56787078266002E-05,8.66206
20,0.0046,0.4,0.0149239297242187,1.9596035579885400,6.265636630385580,11.811483941511900,3.0,1.0,-2.999,0.06514911677484650,1.0278055986073000,5.920787753523E-05,8.65972
20,0.0046,0.44,0.01241380082667690,2.070298646504620,8.158123996475200,10.959265474183000,3.0,1.0,-2.999,0.08493862289514170,1.0091297670027000,7.75679131221254E-05,8.66202
20,0.0046,0.48,0.009471864196000800,1.7005149683442600,11.720804708970100,10.355661311064100,3.0,1.0,-2.999,0.12125929468146100,0.9827967856855540,0.00010708664309162500,8.66242
20,0.0046,0.52,0.005792115658376910,1.5360566833618900,19.68053345152010,10.141519453448600,3.0,1.0,-3.0,0.2095458421494800,0.9115451588679250,0.0001580306051741580,8.66294
20,0.0046,0.56,0.0037268361627023600,1.5026758137483700,19.852218957232100,10.909221301745600,3.0,1.0,-3.0,0.35496742154056200,0.7848100748983240,0.0002702825633116550,8.66211
20,0.0046,0.6,0.0038951929239568100,1.3361068733951000,19.325922775205200,10.272750631629700,3.0,1.0,-3.0,0.35904478950608900,0.6970186779062790,0.00044674717852989200,8.65998
20,0.0046,0.64,0.005464508517243910,1.2559806696787600,14.78598121084040,9.495676129506020,3.0,1.0,-3.0,0.2607345832317540,0.7615477105621490,0.0001661636924814120,8.66146
20,0.0046,0.68,0.007882334897222450,1.1963563762046300,10.327203564064800,8.871730908745510,3.0,1.0,-2.999,0.17608033537928600,0.7842611936049940,9.6915887931841E-05,8.66005
20,0.0046,0.72,0.010197030890045000,1.2433787060880200,7.262721872660630,8.53231510231111,3.0,1.0,-2.999,0.12908082273240400,0.7763626050101660,6.84156836648383E-05,8.66152
20,0.0046,0.76,0.01221453146252000,1.2337789867290300,5.555411593539600,8.20635567563059,3.0,1.0,-2.999,0.10301125037038600,0.762733597996298,5.24219974737673E-05,8.66129
20,0.0046,0.8,0.01405077478930060,1.1192544982655300,4.4816974383638600,7.915167455843750,3.0,1.0,-2.999,0.0826269493474652,0.7451580269420960,4.19811377523264E-05,8.6625
20,0.05,0.32,0.019347075917564900,2.6616519870702800,2.661651987063650,28.47629367573450,3.0,1.0,-3.000000000000000,0.1009288677569390,1.0134777194046900,0.0035889270714615100,8.66193
20,0.05,0.36,0.0186238988490704,2.7398740169075000,2.7398740157709100,28.38984510327070,3.0,1.0,-3.0,0.12394868158405100,1.030965150167050,0.004468067665593590,8.66206
20,0.05,0.4,0.017425402236987700,2.910655201209310,2.9106552011442200,28.181841761086100,3.0,1.0,-3.0,0.2199527203198270,1.0649850729364400,0.005628923445861170,8.65972
20,0.05,0.44,0.016413196736225300,2.8011714509294,3.2934517707098300,27.859985987613100,3.0,1.0,-3.0,0.31608538550524300,1.0685734337887100,0.006915071926104860,8.66202
20,0.05,0.48,0.0161656385555752,2.1202477203641200,3.556290047180720,26.555594751695800,3.0,1.0,-2.8612475718797300,0.4510712971611350,1.0481558611250800,0.008392989311596340,8.66242
20,0.05,0.52,0.016183343235328300,1.6891795880606700,3.720596000404070,24.963844388566200,3.0,1.0,-2.780478192021440,0.5577404797982470,0.9571802387499390,0.009617918362546470,8.66294
20,0.05,0.56,0.01608817565710220,1.5656100387002600,3.8937850520950900,23.38618146341810,3.0,1.0,-2.791449600647050,0.6321212702517690,0.8242570762947490,0.0104841961132787,8.66211
20,0.05,0.6,0.015850468755093300,1.3901910181477300,3.9999338986985900,21.703834874975100,3.0,1.0,-2.7808719641984900,0.6562103818606360,0.6824810904480950,0.010734061291157200,8.65998
20,0.05,0.64,0.01536299470319020,1.24553632529231,3.761978702479660,19.655909146434000,3.0,1.0,-2.6585793132552300,0.615616036380141,0.5968258380158500,0.010332346074098400,8.66146
20,0.05,0.68,0.015515487467920000,1.2585278409999800,3.3077137198573800,17.874350257157900,3.0,1.0,-2.5710237926020800,0.527244209384455,0.6134788185204440,0.010045205447650200,8.66005
20,0.05,0.72,0.015231226370620600,1.4666659007550200,2.848822494035380,16.418837837158000,3.0,1.0,-2.531112139149610,0.4445312892425910,0.6767779741524480,0.007844037050839760,8.66152
20,0.05,0.76,0.015630364100886400,1.658341921014040,2.4290798833548000,15.082647389942900,3.0,1.0,-2.5147087731812700,0.3640358366891410,0.7142013307813420,0.005283611238572370,8.66129
20,0.05,0.8,0.01637094431365920,1.5931285743426900,2.1768416677301800,13.941809656152500,3.0,1.0,-2.5462503365056200,0.29237930765443900,0.7230187129155450,0.0042851948787452200,8.6625
20,0.5,0.36,0.02259780348896500,1.731689670163770,1.7316896792208800,52.539183122549300,3.0,1.0,-2.8003114061934300,1.2611761858070400,1.082605674797510,0.16819329714801000,8.66206
20,0.5,0.4,0.025531333849667100,1.6210213789665000,1.621021378919630,47.617034658873000,3.0,1.0,-2.779678711564100,1.3043089887325000,1.0823510873157300,0.18071067053090600,8.65972
20,0.5,0.44,0.0251500597999178,1.6671134160349500,1.667113416014140,43.98228306061190,3.0,1.0,-2.7823835348194700,1.2371833904190700,1.006251523989730,0.17870527652518800,8.66202
20,0.5,0.48,0.02957955909652730,1.571932266408180,1.571932266719610,40.70053253831660,3.0,1.0,-2.8076652856877900,1.2492303713403500,0.968109150150838,0.1815532582760860,8.66242
20,0.5,0.52,0.03165956339657670,1.459357324363380,1.459357325287780,37.28020116826630,3.0,1.0,-2.7664434142790800,1.2017563310933500,0.8927952542778230,0.17592397709389900,8.66294
20,0.5,0.56,0.033066631039243900,1.3874973232888200,1.4289912029482400,34.336289943203200,3.0,1.0,-2.7519896340641200,1.1991295337997700,0.8360658297089730,0.17253773426272000,8.66211
20,0.5,0.6,0.03241425945950850,1.2418127324385500,1.4665531780269700,31.5823715145513,3.0,1.0,-2.7286831659831100,1.217200427615580,0.7873484049262220,0.16968934416006200,8.65998
20,0.5,0.64,0.031939116614995700,0.9973772084754700,1.5564110612524200,29.36672367472810,3.0,1.0,-2.7252675726246700,1.1742115070279300,0.7147824609878670,0.1597547670674000,8.66146
20,0.5,0.68,0.030181058225271900,0.8902878861509150,1.620598860670590,27.495407260993000,3.0,1.0,-2.7300184314714800,1.1173953660480400,0.641823990186223,0.14747675044536900,8.66005
20,0.5,0.72,0.028653362581490400,0.9584694421940550,1.5625024825560500,25.475947880745300,3.0,1.0,-2.69931116007063,1.089980795636950,0.594493514579456,0.1388035991632650,8.66152
20,0.5,0.76,0.02739876965404740,1.1888008243770800,1.347356598219460,23.50474763495630,3.0,1.0,-2.6418874819798500,1.0540475139675800,0.5644783597384370,0.131888680150603,8.66129
20,0.5,0.8,0.027648552508874600,1.223971316362230,1.250579293585980,22.276311203371300,3.0,1.0,-2.6460875201738500,0.9909364468374560,0.5521461898773720,0.12609231754501300,8.6625
